,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
34,60,88.0,11134,8,5,1992,1993,180.0,1129.0,0.0,261.0,1390.0,1402,823,0,2225,1.0,0.0,2,1,4,1,7,1,1992.0,3.0,713.0,198,30,0,0,0,0,0,6,2010,286634.0661132575
35,120,25.0,4835,7,5,2004,2005,0.0,1298.0,0.0,190.0,1488.0,1488,0,0,1488,1.0,0.0,2,0,2,1,6,1,2004.0,2.0,506.0,168,50,0,0,0,0,0,3,2010,209214.89570559413
36,160,39.0,3515,7,5,2004,2004,0.0,0.0,0.0,840.0,840.0,840,840,0,1680,0.0,0.0,2,1,2,1,3,0,2004.0,2.0,588.0,0,111,0,0,0,0,0,1,2010,163752.58949725865
37,160,30.0,3215,7,5,2004,2004,120.0,280.0,0.0,320.0,600.0,600,600,0,1200,0.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,4,2010,153138.32956979275
38,160,24.0,2544,7,5,2004,2005,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,1.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,2,2010,165514.29274611728
39,160,24.0,2544,6,5,2005,2005,216.0,376.0,0.0,224.0,600.0,600,636,0,1236,1.0,0.0,2,1,2,1,4,0,2005.0,2.0,480.0,0,166,0,0,0,0,0,5,2010,152615.87501615915
40,160,35.0,2980,6,5,2000,2000,1159.0,466.0,0.0,290.0,756.0,756,756,0,1512,1.0,0.0,2,1,2,1,5,0,2000.0,2.0,440.0,0,32,0,0,0,0,0,5,2010,156793.7284891952
41,160,46.0,2403,7,5,2003,2003,0.0,244.0,0.0,286.0,530.0,530,550,0,1080,0.0,0.0,2,1,2,1,4,0,2003.0,2.0,496.0,0,50,0,0,0,0,0,6,2010,150264.8228465618
42,20,57.0,12853,8,5,2010,2010,0.0,1032.0,0.0,610.0,1642.0,1418,0,0,1418,1.0,0.0,1,1,1,1,6,1,2010.0,3.0,852.0,160,192,0,224,0,0,0,4,2010,289383.7737196423
43,60,68.0,7379,8,5,2000,2000,0.0,484.0,0.0,491.0,975.0,975,873,0,1848,1.0,0.0,2,1,3,1,7,1,2000.0,2.0,592.0,280,184,0,0,0,0,0,4,2010,247224.26159209711
44,20,80.0,8000,7,5,2002,2002,0.0,833.0,0.0,659.0,1492.0,1492,0,0,1492,1.0,0.0,2,0,3,1,6,1,2002.0,2.0,596.0,277,137,0,0,0,0,0,4,2010,220811.9437472791
45,20,80.0,10456,6,6,1967,1967,120.0,506.0,0.0,1323.0,1829.0,1829,0,0,1829,1.0,0.0,2,0,4,1,8,0,1967.0,2.0,535.0,0,76,0,0,0,0,0,5,2010,186511.3861941218
46,60,80.0,10791,6,5,1993,1993,0.0,1137.0,0.0,143.0,1280.0,1280,1215,0,2495,1.0,0.0,2,1,4,1,9,1,1993.0,2.0,660.0,224,32,0,0,0,0,0,3,2010,237923.46577018776
47,50,80.0,18837,6,5,1978,1978,0.0,687.0,46.0,491.0,1224.0,1287,604,0,1891,0.0,1.0,3,0,3,1,7,1,1978.0,2.0,678.0,0,69,0,0,0,0,0,4,2010,186613.85598752866
48,60,80.0,9600,6,6,1971,1971,0.0,329.0,0.0,386.0,715.0,930,715,0,1645,0.0,0.0,1,2,4,1,7,0,1971.0,2.0,441.0,0,78,0,0,0,0,0,6,2010,157927.79930291724
49,20,80.0,9600,5,5,1966,1966,172.0,698.0,0.0,534.0,1232.0,1232,0,0,1232,1.0,0.0,1,1,3,1,6,0,1966.0,2.0,490.0,0,224,0,0,0,0,0,4,2010,136886.45255274014
50,20,90.0,9900,5,5,1966,1966,0.0,1059.0,0.0,150.0,1209.0,1209,0,0,1209,1.0,0.0,1,0,3,1,6,0,1966.0,2.0,504.0,0,0,120,0,0,0,0,4,2010,138885.35476791573
51,20,88.0,9680,5,6,1967,1967,268.0,1010.0,0.0,500.0,1510.0,1510,0,0,1510,1.0,0.0,2,0,3,1,6,0,1967.0,2.0,517.0,0,40,0,0,204,0,0,4,2010,168421.97851602032
52,80,93.0,10600,6,5,1964,1964,0.0,0.0,0.0,533.0,533.0,1131,644,0,1775,0.0,0.0,2,0,3,1,8,0,1964.0,2.0,480.0,0,172,0,0,0,0,0,5,2010,143553.34972563846
53,90,98.0,13260,5,6,1962,2001,144.0,1500.0,0.0,228.0,1728.0,1728,0,0,1728,2.0,0.0,2,0,6,2,10,0,1979.0,0.0,0.0,0,0,0,0,0,0,0,1,2010,144223.86316499766
54,50,68.0,9724,5,7,1952,2002,265.0,670.0,0.0,470.0,1140.0,1929,532,0,2461,0.0,0.0,2,0,3,1,7,2,1994.0,2.0,400.0,0,0,0,0,0,0,0,3,2010,190893.2044484292
55,50,120.0,17360,6,6,1949,1950,340.0,300.0,0.0,482.0,782.0,1019,537,0,1556,0.0,0.0,2,0,3,1,6,1,1949.0,2.0,470.0,0,0,150,0,0,0,0,1,2010,147694.40251581173
56,85,75.0,11380,6,8,1966,2008,216.0,944.0,0.0,136.0,1080.0,1128,0,0,1128,1.0,0.0,1,0,2,1,5,1,1966.0,1.0,315.0,238,0,0,0,0,0,1500,1,2010,157354.3429445203
57,90,70.0,8267,5,5,1958,1958,0.0,0.0,0.0,1604.0,1604.0,1604,0,0,1604,0.0,0.0,2,0,4,2,8,0,1958.0,2.0,576.0,42,0,0,0,0,0,0,3,2010,127302.78263616265
58,20,70.0,8197,7,5,2003,2009,506.0,1188.0,0.0,292.0,1480.0,1480,0,0,1480,1.0,0.0,2,0,3,1,7,0,2003.0,2.0,620.0,252,73,0,0,0,0,300,2,2010,214415.83587154723
59,20,78.5,8050,5,5,1959,1959,150.0,856.0,162.0,125.0,1143.0,1143,0,0,1143,1.0,0.0,1,0,3,1,6,0,1959.0,1.0,308.0,0,0,0,0,0,0,0,5,2010,119207.40943741464
60,20,87.0,10725,5,5,1959,1959,91.0,936.0,0.0,270.0,1206.0,1206,0,0,1206,0.0,0.0,1,0,3,1,6,0,1959.0,1.0,312.0,0,21,0,0,0,0,0,5,2010,112174.68967671573
61,20,80.0,10032,6,5,1959,1959,432.0,734.0,0.0,510.0,1244.0,1580,0,0,1580,1.0,0.0,1,1,3,1,6,2,1956.0,2.0,440.0,0,28,0,0,160,0,0,6,2010,187012.9992438376
62,50,60.0,8382,4,5,1956,1956,0.0,0.0,0.0,832.0,832.0,832,505,0,1337,0.0,0.0,1,0,3,1,5,0,1956.0,1.0,263.0,0,0,0,0,0,0,0,2,2010,96403.72754954884
63,20,60.0,10950,5,7,1952,1952,0.0,339.0,0.0,525.0,864.0,1064,0,0,1064,0.0,1.0,1,0,2,1,4,0,1952.0,1.0,318.0,0,0,0,0,0,0,0,5,2010,113861.55675644315
64,20,119.0,10895,5,6,1955,1955,0.0,648.0,0.0,324.0,972.0,972,0,0,972,0.0,0.0,1,0,3,1,5,0,1955.0,1.0,305.0,0,0,205,0,0,0,0,6,2010,109931.19060990047
65,190,70.0,13587,5,5,1958,1958,0.0,532.0,0.0,456.0,988.0,988,0,0,988,1.0,0.0,1,0,2,1,5,0,1958.0,1.0,264.0,0,0,0,0,0,0,0,4,2010,97968.63421289144
66,30,65.0,7898,4,7,1920,1994,0.0,0.0,0.0,576.0,576.0,985,0,0,985,0.0,1.0,1,0,2,1,4,0,1989.0,2.0,676.0,0,0,0,0,0,0,0,4,2010,104614.24222275117
67,50,60.0,8064,6,8,1948,2004,0.0,481.0,174.0,161.0,816.0,816,408,0,1224,1.0,0.0,1,0,3,1,5,0,1950.0,1.0,280.0,414,0,0,0,0,0,0,5,2010,153898.86676515246
68,20,81.0,7635,5,6,1960,1960,0.0,588.0,350.0,237.0,1175.0,1175,0,0,1175,0.0,0.0,1,1,3,1,6,0,1960.0,2.0,484.0,0,0,0,0,0,0,0,6,2010,131846.12014707117
69,20,80.0,9760,6,7,1963,1984,218.0,717.0,263.0,415.0,1395.0,1395,0,0,1395,1.0,0.0,1,0,2,1,7,1,1963.0,2.0,440.0,657,0,113,0,240,0,0,5,2010,221070.76541566168
70,50,60.0,4800,4,5,1900,1954,771.0,48.0,0.0,661.0,709.0,1157,687,0,1844,1.0,0.0,1,0,3,1,9,2,1900.0,1.0,240.0,84,0,0,0,0,0,0,1,2010,113597.22402168815
71,30,56.0,4485,5,7,1920,1950,0.0,579.0,0.0,357.0,936.0,936,0,0,936,1.0,0.0,1,0,2,1,5,1,1928.5,0.0,0.0,51,0,135,0,0,0,0,5,2010,107005.88358904106
72,20,69.0,5805,5,7,1957,1957,0.0,274.0,1073.0,0.0,1347.0,1347,0,0,1347,1.0,1.0,1,0,3,1,6,0,1957.0,2.0,551.0,0,0,0,0,0,0,0,6,2010,150695.69610442803
73,45,50.0,6900,6,7,1938,2000,0.0,0.0,0.0,827.0,827.0,827,424,0,1251,0.0,0.0,1,0,3,1,6,0,1938.0,1.0,240.0,0,0,0,0,0,0,0,1,2010,128144.79251872313
74,50,69.0,11851,5,7,1948,2009,0.0,780.0,0.0,247.0,1027.0,1027,606,0,1633,0.0,0.0,1,0,3,1,7,1,1948.0,1.0,240.0,0,100,126,0,0,0,0,6,2010,143778.91502593746
75,50,68.5,8239,5,6,1920,1962,0.0,176.0,0.0,832.0,1008.0,1060,185,0,1245,0.0,0.0,1,0,3,1,6,0,1962.0,1.0,315.0,0,0,334,0,0,0,0,3,2010,107515.6585023545
76,30,68.0,9656,2,2,1923,1970,0.0,0.0,0.0,678.0,678.0,832,0,0,832,0.0,0.0,1,0,2,1,5,1,1928.0,2.0,780.0,0,0,0,0,0,0,0,6,2010,74407.7919420359
77,70,60.0,9600,8,9,1900,2003,0.0,0.0,0.0,930.0,930.0,930,636,0,1566,0.0,0.0,2,0,3,1,7,0,1930.0,1.0,288.0,54,228,246,0,0,0,0,4,2010,168862.5052742637
78,70,50.0,9000,8,9,1890,2002,0.0,0.0,0.0,346.0,346.0,1157,1111,0,2268,0.0,0.0,3,0,3,1,7,0,2003.0,2.0,624.0,0,108,0,0,0,0,0,4,2010,193703.66253263885
79,190,100.0,9045,5,3,1910,1950,0.0,0.0,0.0,840.0,840.0,1128,1128,0,2256,0.0,0.0,2,0,4,2,12,0,1986.5,0.0,0.0,0,18,18,0,0,0,0,6,2010,84615.63554284743
80,70,60.0,10560,6,7,1922,1994,0.0,283.0,0.0,455.0,738.0,868,602,0,1470,0.0,0.0,1,1,2,1,6,0,1970.0,2.0,624.0,0,0,0,0,0,0,0,6,2010,139644.66054755743
81,50,53.0,5830,5,6,1950,1997,0.0,788.0,0.0,200.0,988.0,1030,582,0,1612,0.0,0.0,1,1,3,1,7,0,1950.0,1.0,363.0,0,0,0,0,0,0,0,3,2010,131167.39858672646
82,75,51.5,7793,7,7,1922,2005,0.0,474.0,0.0,634.0,1108.0,1160,908,0,2068,0.0,0.0,1,1,3,1,8,1,1928.0,1.0,315.0,0,0,60,0,0,0,0,5,2010,175238.41509639085
83,30,50.0,5000,4,7,1925,1950,0.0,188.0,0.0,577.0,765.0,765,0,0,765,1.0,0.0,1,0,2,1,4,0,1926.0,1.0,200.0,135,0,41,0,0,0,0,4,2010,97095.98157401186
84,50,50.0,6000,6,7,1939,1950,0.0,452.0,12.0,144.0,608.0,608,524,0,1132,1.0,0.0,1,0,2,1,5,0,1939.0,1.0,240.0,0,0,128,0,0,0,0,4,2010,126609.85195073202
85,50,50.0,6000,6,6,1940,1950,0.0,264.0,0.0,308.0,572.0,848,348,0,1196,0.0,1.0,1,1,3,1,6,2,1973.0,2.0,576.0,0,0,0,0,0,0,0,3,2010,144059.87965204037
86,50,53.0,6360,5,6,1942,1950,300.0,360.0,159.0,316.0,835.0,955,498,0,1453,0.0,0.0,1,1,3,1,7,2,1942.0,1.0,240.0,0,0,35,0,148,0,0,3,2010,136120.6764680996
87,50,50.0,6000,6,7,1948,1950,0.0,300.0,0.0,480.0,780.0,780,636,0,1416,0.0,0.0,1,1,3,1,6,0,1948.0,1.0,312.0,221,0,48,0,0,0,0,3,2010,134428.53185749974
88,50,52.0,6240,5,7,1936,1980,0.0,276.0,0.0,252.0,528.0,548,492,0,1040,0.0,0.0,1,0,2,1,5,0,1979.0,2.0,624.0,306,0,32,0,0,0,0,5,2010,121009.47833092458
89,50,52.0,6240,5,5,1930,1950,0.0,448.0,0.0,480.0,928.0,928,608,0,1536,0.0,0.0,2,0,4,1,7,1,1930.0,2.0,480.0,0,10,0,0,0,0,0,3,2010,126908.80166707939
90,30,51.0,6120,6,5,1923,1950,0.0,960.0,0.0,164.0,1124.0,1068,0,0,1068,1.0,0.0,1,0,2,1,5,1,1923.0,1.0,288.0,0,0,128,0,0,0,0,3,2010,123712.11924769414
91,50,57.0,8094,4,5,1915,1950,0.0,0.0,0.0,888.0,888.0,888,1074,0,1962,0.0,0.0,1,1,4,1,9,1,1915.0,2.0,572.0,160,0,364,0,0,0,0,6,2010,133682.77221624533
92,70,60.0,12900,6,8,1912,2009,0.0,0.0,0.0,780.0,780.0,780,780,0,1560,0.0,0.0,1,1,3,1,7,0,1917.5,0.0,0.0,344,0,0,0,168,0,0,5,2010,139598.75964589958
93,70,52.0,3068,6,8,1920,1993,0.0,0.0,0.0,662.0,662.0,662,662,0,1324,0.0,1.0,1,0,3,1,6,0,1920.0,1.0,180.0,0,0,112,0,0,0,0,2,2010,127233.45436065955
94,20,100.0,15263,5,5,1959,1959,90.0,766.0,0.0,656.0,1422.0,1675,0,0,1675,0.0,0.0,2,0,3,1,8,2,1959.0,1.0,365.0,0,132,0,0,0,0,0,5,2010,144257.46564656912
95,50,72.0,10632,5,3,1917,1950,0.0,0.0,0.0,689.0,689.0,725,499,0,1224,0.0,0.0,1,1,3,1,6,0,1917.0,1.0,180.0,0,0,248,0,0,0,0,1,2010,93157.75268990535
96,190,60.0,9900,5,4,1915,1950,0.0,1026.0,0.0,186.0,1212.0,1212,180,0,1392,1.0,0.0,1,0,3,1,6,0,1928.5,0.0,0.0,0,0,168,0,0,0,0,2,2010,86039.54805624291
97,50,65.0,6001,6,5,1940,1950,0.0,368.0,0.0,232.0,600.0,600,319,0,919,0.0,0.0,1,0,3,1,5,0,1940.0,1.0,231.0,0,0,45,0,0,0,0,3,2010,102659.41707932904
98,70,62.5,6449,4,1,1907,1950,0.0,73.0,0.0,634.0,707.0,942,942,0,1884,0.0,0.0,1,1,4,1,7,0,1925.0,0.0,0.0,0,0,239,0,0,0,0,3,2010,77522.7292295934
99,190,60.0,6048,5,7,1910,1950,0.0,736.0,0.0,120.0,856.0,936,744,0,1680,1.0,0.0,2,0,2,2,7,1,1910.0,2.0,450.0,56,144,0,0,0,0,0,6,2010,120570.95393496897
100,90,72.0,10773,4,3,1967,1967,72.0,704.0,0.0,1128.0,1832.0,1832,0,0,1832,2.0,0.0,2,0,4,2,8,0,1938.0,0.0,0.0,0,58,0,0,0,0,0,5,2010,113712.83438235677
101,20,65.0,7800,5,7,1966,2008,47.0,240.0,474.0,150.0,864.0,892,0,0,892,1.0,0.0,1,0,3,1,5,0,1966.0,1.0,416.0,0,0,0,0,0,0,0,6,2010,133393.16905085836
102,20,65.0,7832,5,5,1968,1968,0.0,775.0,0.0,89.0,864.0,864,0,0,864,1.0,0.0,1,0,2,1,4,0,1969.0,1.0,280.0,226,0,0,0,0,0,0,5,2010,116735.56589575934
103,90,75.5,7424,5,5,1978,1978,0.0,1319.0,0.0,0.0,1319.0,1373,0,0,1373,1.0,0.0,1,0,3,1,5,2,1978.0,2.0,591.0,0,0,0,0,0,0,0,5,2010,153257.5276443672
104,60,86.0,11227,5,5,1968,1968,0.0,267.0,453.0,0.0,720.0,720,720,0,1440,0.0,0.0,1,1,4,1,7,2,1968.0,2.0,480.0,192,38,0,0,0,0,0,3,2010,146396.34797885365
105,20,90.0,20062,7,7,1977,2001,0.0,1092.0,0.0,328.0,1420.0,1483,0,0,1483,1.0,0.0,1,1,1,1,4,2,1977.0,2.0,690.0,496,0,0,0,0,0,0,4,2010,242404.1876868109
106,30,94.0,9259,4,4,1927,1950,0.0,0.0,0.0,660.0,660.0,756,0,0,756,0.0,0.0,1,0,2,1,4,0,1945.0,2.0,440.0,80,0,0,0,0,0,0,6,2010,84377.84104779232
107,60,109.0,17082,6,5,1978,1992,288.0,964.0,0.0,153.0,1117.0,1117,864,0,1981,1.0,0.0,2,1,4,1,8,1,1978.0,2.0,522.0,336,104,0,0,0,0,0,5,2010,204098.98883363343
108,50,124.0,18600,3,4,1938,1990,0.0,288.0,684.0,0.0,972.0,1052,558,0,1610,0.0,1.0,2,0,4,1,8,1,1938.0,1.0,480.0,0,0,60,0,0,0,450,6,2010,106422.51224542568
109,20,65.0,11479,6,7,1950,1987,0.0,104.0,387.0,172.0,663.0,1074,0,0,1074,1.0,0.0,1,0,3,1,6,1,1987.0,1.0,467.0,0,52,52,0,0,0,0,6,2010,149215.3682674039
110,50,50.0,9350,4,6,1947,1979,0.0,192.0,0.0,564.0,756.0,1169,0,362,1531,0.0,0.0,1,0,3,1,8,1,1947.0,1.0,209.0,0,0,0,0,0,0,0,6,2010,125357.5486041421
111,20,75.0,9525,5,7,1954,1998,0.0,954.0,0.0,218.0,1172.0,1172,0,0,1172,1.0,0.0,1,0,3,1,5,0,1954.0,1.0,366.0,240,0,0,0,0,0,0,6,2010,139327.97221548166
112,20,44.0,17485,7,5,2009,2010,96.0,1346.0,0.0,162.0,1508.0,1508,0,0,1508,1.0,0.0,1,0,1,1,5,2,2009.0,2.0,572.0,0,0,0,0,0,0,0,1,2010,232532.7472894043
113,20,63.5,11200,5,3,1964,1964,0.0,0.0,0.0,1250.0,1250.0,1298,0,0,1298,0.0,0.0,2,0,3,1,5,0,1964.0,2.0,504.0,0,144,0,0,0,0,0,6,2010,118999.5980872855
114,20,83.0,11980,7,5,1987,1987,177.0,1433.0,0.0,0.0,1433.0,1433,0,0,1433,1.0,0.0,1,1,1,1,4,2,1987.0,2.0,528.0,0,278,0,0,266,0,0,6,2010,224939.64740451553
115,60,87.0,12361,6,7,1993,1993,85.0,860.0,0.0,86.0,946.0,964,838,0,1802,0.0,1.0,2,1,3,1,8,1,2000.0,4.0,1017.0,450,92,0,0,0,0,0,5,2010,257294.39095280957
116,20,64.0,7360,7,5,2010,2010,80.0,24.0,0.0,1198.0,1222.0,1222,0,0,1222,0.0,0.0,2,0,2,1,6,0,2009.0,2.0,615.0,0,54,0,0,0,0,0,3,2010,183871.1597087903
117,50,82.0,14235,6,8,1900,1993,0.0,0.0,0.0,676.0,676.0,831,614,0,1445,0.0,0.0,2,0,3,1,6,0,1957.0,2.0,484.0,0,59,0,0,0,0,0,3,2010,135356.0842053151
118,85,82.0,11105,5,5,1996,1996,0.0,870.0,0.0,0.0,870.0,965,0,0,965,1.0,0.0,1,0,2,1,4,0,1998.0,2.0,580.0,71,0,0,0,0,0,0,7,2010,135163.94950967276
119,60,60.0,9337,7,5,1997,1998,0.0,353.0,0.0,525.0,878.0,892,800,0,1692,0.0,0.0,2,1,3,1,8,1,1997.0,2.0,513.0,0,39,0,0,0,0,0,4,2010,202440.0608853829
